frame,nose_x,nose_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,0.5923243761062622,0.2077778428792953,0.6326307058334351,0.2892358303070068,0.5377513766288757,0.2904462218284607,0.6240943670272827,0.3765714764595032,0.5345683097839355,0.3836541771888733,0.6339819431304932,0.4542170763015747,0.5261159539222717,0.4697980582714081,0.6133466958999634,0.4568767547607422,0.566646158695221,0.4554782807826996,0.5824204087257385,0.5830223560333252,0.5965861678123474,0.5859647393226624,0.5331833362579346,0.6866928935050964,0.6432836651802063,0.7031469345092773
1,0.5923059582710266,0.2084698975086212,0.6329282522201538,0.2891631722450256,0.5381871461868286,0.290585845708847,0.6239104866981506,0.375543475151062,0.5353464484214783,0.3836483061313629,0.6335230469703674,0.4512439668178558,0.5276105999946594,0.4697442650794983,0.6135992407798767,0.4568729400634765,0.5673259496688843,0.4554715454578399,0.5841540694236755,0.5826147198677063,0.5963116884231567,0.5850136876106262,0.5331833958625793,0.6867481470108032,0.642625629901886,0.7023802995681763
2,0.5932006239891052,0.2095505148172378,0.6343664526939392,0.2893040478229522,0.5396525859832764,0.2909387946128845,0.6254296898841858,0.3753209114074707,0.5362799167633057,0.3840017914772033,0.6342150568962097,0.4512681663036346,0.5301662683486938,0.4697134792804718,0.6140075325965881,0.4569502472877502,0.5683581233024597,0.4554924964904785,0.5857248306274414,0.5816174149513245,0.5963050127029419,0.5843671560287476,0.5334444046020508,0.6866147518157959,0.642496645450592,0.7023123502731323
3,0.5958865880966187,0.2101946771144867,0.6398022770881653,0.2895873486995697,0.541320264339447,0.2909537851810455,0.6308325529098511,0.3766661286354065,0.5378832221031189,0.38365638256073,0.6376610398292542,0.4549615085124969,0.5327908992767334,0.4692001640796661,0.6161668300628662,0.457242488861084,0.570421576499939,0.4556024670600891,0.5883246660232544,0.5814996957778931,0.597404420375824,0.5843451023101807,0.535156786441803,0.6867198348045349,0.6428250670433044,0.7023853063583374
4,0.5986356139183044,0.2116335332393646,0.6428071856498718,0.2905405461788177,0.5436481833457947,0.2915118038654327,0.6381930708885193,0.3781532347202301,0.5411828756332397,0.3839335441589355,0.6440966725349426,0.4574702382087707,0.5353364944458008,0.4692029654979706,0.618915319442749,0.4577207267284393,0.572924017906189,0.4557706713676452,0.5904637575149536,0.5815085768699646,0.6003676652908325,0.5845469832420349,0.5368363261222839,0.6876888275146484,0.6450191736221313,0.7027886509895325
5,0.6016811728477478,0.2123855799436569,0.6470964550971985,0.2908088564872741,0.5464243292808533,0.2925019860267639,0.6418971419334412,0.3788179755210876,0.5447559952735901,0.3846044838428497,0.6477024555206299,0.4595616161823272,0.5384269952774048,0.4691967070102691,0.6229340434074402,0.4584419727325439,0.5750855803489685,0.4561680257320404,0.5926473736763,0.5830756425857544,0.6037430167198181,0.5862951874732971,0.5393092036247253,0.6899121403694153,0.6505946516990662,0.7049948573112488
6,0.6044194102287292,0.2126302570104599,0.6518441438674927,0.2915201485157013,0.5496314167976379,0.2934036552906036,0.6467841863632202,0.3787773847579956,0.5475143194198608,0.384624183177948,0.6521992683410645,0.4594682455062866,0.5415447354316711,0.4691683948040008,0.6267003417015076,0.4591177105903625,0.5764502882957458,0.4562779366970062,0.5949819087982178,0.5843948721885681,0.606576681137085,0.5866957902908325,0.5414186120033264,0.6936201453208923,0.653742790222168,0.7062247395515442
7,0.6073331236839294,0.2130701243877411,0.6548277139663696,0.2920509874820709,0.5524714589118958,0.2935998141765594,0.6511370539665222,0.379046618938446,0.5499579906463623,0.3847014009952545,0.6561771035194397,0.4592921733856201,0.5441521406173706,0.4693911969661712,0.6290807723999023,0.4594223797321319,0.5778699517250061,0.4564647674560547,0.5975562930107117,0.5853657126426697,0.6086410880088806,0.5876962542533875,0.5441099405288696,0.6951428651809692,0.6565573215484619,0.7077994346618652
8,0.6085777878761292,0.2146366685628891,0.6570303440093994,0.2926937639713287,0.5543681383132935,0.2937365770339966,0.654679536819458,0.3793041706085205,0.5527134537696838,0.3847056925296783,0.6617461442947388,0.4592481851577759,0.5462507009506226,0.4693724811077118,0.6312417984008789,0.4599637687206268,0.5799338221549988,0.4570970833301544,0.5991064310073853,0.5862336158752441,0.6101532578468323,0.5883387923240662,0.5457140803337097,0.695486307144165,0.6576747894287109,0.708698034286499
9,0.6093599796295166,0.2157630026340484,0.6583371758460999,0.2933136820793152,0.5557237267494202,0.2942681312561035,0.6548615097999573,0.3795542120933532,0.5538111925125122,0.3851736783981323,0.6613841652870178,0.4590983092784881,0.5476332902908325,0.4697452187538147,0.6332033276557922,0.4602795541286468,0.5818768739700317,0.4574632942676544,0.6004049777984619,0.5865451097488403,0.6113466024398804,0.5888543725013733,0.547270655632019,0.6956765651702881,0.658589780330658,0.7096647620201111
10,0.6099207401275635,0.2171220928430557,0.6584590673446655,0.2941060066223144,0.5563821196556091,0.2950082123279571,0.6549103856086731,0.3803819417953491,0.55417799949646,0.3862442374229431,0.6614850163459778,0.4602818787097931,0.5482112169265747,0.4703311026096344,0.633222222328186,0.4606344401836395,0.5825177431106567,0.4579725563526153,0.6008082628250122,0.5866782069206238,0.6122468709945679,0.5889711380004883,0.5477169752120972,0.6957311630249023,0.6588619947433472,0.7100258469581604
11,0.6102774739265442,0.2176921069622039,0.6579283475875854,0.2949879467487335,0.5568656325340271,0.2951939702033996,0.6548597812652588,0.3813828825950622,0.5545605421066284,0.3866376578807831,0.6606242656707764,0.4613575935363769,0.5487600564956665,0.4707726836204529,0.6324722170829773,0.4609447121620178,0.5825664401054382,0.4589027762413025,0.6010762453079224,0.5868173241615295,0.6124654412269592,0.5892924666404724,0.5479090213775635,0.695923924446106,0.6585768461227417,0.7102402448654175
12,0.6102206110954285,0.2177171111106872,0.6575331687927246,0.2953207790851593,0.5569378733634949,0.295205682516098,0.6542431712150574,0.3816411793231964,0.5546197891235352,0.3866027295589447,0.6600992679595947,0.4611557424068451,0.5483277440071106,0.4706829190254211,0.6317995190620422,0.4609591960906982,0.5821202993392944,0.4590842723846435,0.6009630560874939,0.5868610739707947,0.6124756336212158,0.5892789363861084,0.5478227734565735,0.6963808536529541,0.6582822799682617,0.7101003527641296
13,0.6099323630332947,0.2175493836402893,0.6568937301635742,0.2952590882778168,0.5565303564071655,0.294879674911499,0.6532410383224487,0.3815814256668091,0.5543361306190491,0.385162353515625,0.6593972444534302,0.461123913526535,0.5477250218391418,0.4688999056816101,0.6313822865486145,0.4606606364250183,0.5819042325019836,0.458814412355423,0.6012564301490784,0.5849964022636414,0.612118124961853,0.587033748626709,0.5479522943496704,0.695402979850769,0.6534489393234253,0.7075201869010925
14,0.6096445918083191,0.2123662680387497,0.6563760638237,0.292494535446167,0.5563675165176392,0.2917659282684326,0.6524309515953064,0.3777148723602295,0.5546377897262573,0.3815906643867492,0.6596797108650208,0.4551727771759033,0.5473262071609497,0.46463742852211,0.6303185224533081,0.4576981961727142,0.5816739797592163,0.4564103782176971,0.6009093523025513,0.5833057165145874,0.6118289232254028,0.5825661420822144,0.5478647947311401,0.6928277611732483,0.6464148759841919,0.7008142471313477
15,0.6089654564857483,0.2040703892707824,0.6555390954017639,0.285605251789093,0.5561047196388245,0.2843364179134369,0.651954710483551,0.3727072775363922,0.5543296933174133,0.3762688040733337,0.6598725914955139,0.4491122364997864,0.5464459657669067,0.4601715505123138,0.6285828948020935,0.4515304267406463,0.5812626481056213,0.4497256875038147,0.6007890105247498,0.5780285000801086,0.6113283634185791,0.575225293636322,0.5482521057128906,0.6881471872329712,0.6408266425132751,0.6985218524932861
16,0.6076090931892395,0.1959863454103469,0.6540217399597168,0.2772311866283417,0.5557985305786133,0.2746556401252746,0.6516613364219666,0.3631147742271423,0.5541372299194336,0.3678319156169891,0.6596800684928894,0.4379433989524841,0.5454990863800049,0.4502241313457489,0.6275849938392639,0.4427649080753326,0.580614447593689,0.4416467547416687,0.6001999378204346,0.568168580532074,0.6112918257713318,0.566551685333252,0.5489932298660278,0.6810378432273865,0.6345864534378052,0.6954041123390198
17,0.6057415008544922,0.1889656484127044,0.6505016088485718,0.2684841752052307,0.5550423264503479,0.2660855054855346,0.6493273973464966,0.3546569049358368,0.5539973974227905,0.3603775799274444,0.65888512134552,0.4300476610660553,0.5447866320610046,0.4418245851993561,0.6254450678825378,0.4357738792896271,0.5797063112258911,0.4348765015602112,0.5995436906814575,0.5629621148109436,0.6091146469116211,0.561901330947876,0.5496647953987122,0.6780223250389099,0.6284915804862976,0.6888314485549927
18,0.601533830165863,0.1843267828226089,0.6469923257827759,0.2633145153522491,0.5525239109992981,0.2619193494319916,0.6462790966033936,0.3494282364845276,0.5522962212562561,0.3562452495098114,0.6558124423027039,0.4228848218917846,0.5417598485946655,0.4379444420337677,0.6231310367584229,0.4293166399002075,0.5776478052139282,0.4285070300102234,0.598456084728241,0.5602214336395264,0.6065236330032349,0.5575308799743652,0.5504072308540344,0.6763449907302856,0.6244088411331177,0.6825926303863525
19,0.5967605710029602,0.1816221922636032,0.6445320844650269,0.2616927325725555,0.5474607348442078,0.2623750567436218,0.6442758440971375,0.3482616543769836,0.5491714477539062,0.3558591306209564,0.652726948261261,0.4240635335445404,0.5373433232307434,0.4391954243183136,0.6219635605812073,0.4275643527507782,0.5753085017204285,0.4271203279495239,0.5970883965492249,0.5584902167320251,0.6034857630729675,0.5567866563796997,0.550776481628418,0.6736316680908203,0.6223887205123901,0.6816497445106506
20,0.5905973315238953,0.1800727397203445,0.640828013420105,0.2610414624214172,0.5416232347488403,0.2619044482707977,0.6399522423744202,0.3474087715148926,0.5445461869239807,0.3537533581256866,0.6474865674972534,0.4242010712623596,0.5312698483467102,0.439454436302185,0.6182740926742554,0.4246157705783844,0.5708087682723999,0.4252216815948486,0.5949703454971313,0.5560800433158875,0.598626434803009,0.5560992956161499,0.5507287979125977,0.6711783409118652,0.6216278672218323,0.6794487833976746
21,0.585058867931366,0.1794449537992477,0.637071967124939,0.2607012689113617,0.5355424284934998,0.2626632153987884,0.6343861818313599,0.3477987647056579,0.5395933985710144,0.3542938530445099,0.6405134201049805,0.4234001040458679,0.526642382144928,0.4393914043903351,0.6136066913604736,0.4259435832500458,0.5634064078330994,0.4253219068050384,0.5897242426872253,0.5573250651359558,0.5943931341171265,0.556430459022522,0.549182653427124,0.671815037727356,0.620863676071167,0.6810307502746582
22,0.5808064937591553,0.1807310581207275,0.6330118179321289,0.2605644762516022,0.529763400554657,0.2637193202972412,0.6306436061859131,0.3475831747055053,0.5343071818351746,0.3544500470161438,0.6363128423690796,0.4218203723430633,0.5225248336791992,0.4383971393108368,0.6090152263641357,0.4260854423046112,0.558655858039856,0.4251341819763183,0.5852047204971313,0.5579119324684143,0.5904534459114075,0.5567800998687744,0.545203685760498,0.6718841791152954,0.6178111433982849,0.6821050643920898
23,0.5756794810295105,0.1824564188718795,0.6267822980880737,0.2605351209640503,0.5255383253097534,0.2644696235656738,0.6208529472351074,0.3456931412220001,0.5251988172531128,0.3546670973300934,0.626463770866394,0.4228259921073913,0.5167402625083923,0.4386151134967804,0.6040998697280884,0.4267350137233734,0.5542447566986084,0.425975888967514,0.5806408524513245,0.5582495331764221,0.586428165435791,0.5568869709968567,0.5399249792098999,0.6719297766685486,0.614021897315979,0.6822612285614014
