frame,nose_x,nose_y,nose_conf,left_eye_inner_x,left_eye_inner_y,left_eye_inner_conf,left_eye_x,left_eye_y,left_eye_conf,left_eye_outer_x,left_eye_outer_y,left_eye_outer_conf,right_eye_inner_x,right_eye_inner_y,right_eye_inner_conf,right_eye_x,right_eye_y,right_eye_conf,right_eye_outer_x,right_eye_outer_y,right_eye_outer_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,mouth_left_x,mouth_left_y,mouth_left_conf,mouth_right_x,mouth_right_y,mouth_right_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_pinky_x,left_pinky_y,left_pinky_conf,right_pinky_x,right_pinky_y,right_pinky_conf,left_index_x,left_index_y,left_index_conf,right_index_x,right_index_y,right_index_conf,left_thumb_x,left_thumb_y,left_thumb_conf,right_thumb_x,right_thumb_y,right_thumb_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf,left_heel_x,left_heel_y,left_heel_conf,right_heel_x,right_heel_y,right_heel_conf,left_foot_index_x,left_foot_index_y,left_foot_index_conf,right_foot_index_x,right_foot_index_y,right_foot_index_conf
0,0.5923243761062622,0.20777784287929535,0.9999971389770508,0.5955629944801331,0.198355033993721,0.9999901056289673,0.598718523979187,0.19848759472370148,0.9999855756759644,0.6026575565338135,0.19885951280593872,0.999983549118042,0.5841386914253235,0.1990736573934555,0.9999936819076538,0.5794282555580139,0.2000131607055664,0.9999933242797852,0.5743621587753296,0.201332226395607,0.9999946355819702,0.6053956747055054,0.20644523203372955,0.9999316930770874,0.5652409195899963,0.20986957848072052,0.9999905824661255,0.5985333919525146,0.2206122726202011,0.9999914169311523,0.584013044834137,0.221454456448555,0.9999959468841553,0.6326307058334351,0.28923583030700684,0.9995759129524231,0.5377513766288757,0.2904462218284607,0.99998939037323,0.6240943670272827,0.3765714764595032,0.41897785663604736,0.5345683097839355,0.3836541771888733,0.9830636382102966,0.6339819431304932,0.4542170763015747,0.31485819816589355,0.5261159539222717,0.4697980582714081,0.9539909958839417,0.6348627805709839,0.4784296154975891,0.2838558256626129,0.5235155820846558,0.49347156286239624,0.9130362272262573,0.6341027021408081,0.48042160272598267,0.3051210343837738,0.530289888381958,0.4938158392906189,0.9194484353065491,0.6312103867530823,0.4735807776451111,0.3017255365848541,0.5336834192276001,0.48630672693252563,0.9084503650665283,0.6133466958999634,0.4568767547607422,0.9991727471351624,0.566646158695221,0.4554782807826996,0.9999078512191772,0.5824204087257385,0.5830223560333252,0.7997267842292786,0.5965861678123474,0.5859647393226624,0.9598381519317627,0.5331833362579346,0.6866928935050964,0.9437539577484131,0.6432836651802063,0.7031469345092773,0.9874584674835205,0.5193976759910583,0.7064497470855713,0.8885636925697327,0.6554937958717346,0.723093569278717,0.9151307344436646,0.5695347785949707,0.7221915125846863,0.9459942579269409,0.6335631012916565,0.7244510054588318,0.981537938117981
1,0.5923059582710266,0.20846989750862122,0.9999966025352478,0.5955747961997986,0.1998598724603653,0.9999885559082031,0.5988765954971313,0.19997888803482056,0.9999833703041077,0.6027225255966187,0.20019929111003876,0.999981164932251,0.5841442942619324,0.2004890888929367,0.9999926090240479,0.5794229507446289,0.2013273388147354,0.9999921917915344,0.5743647813796997,0.20232832431793213,0.9999938607215881,0.605415403842926,0.20688623189926147,0.9999227523803711,0.5652462244033813,0.2102678120136261,0.9999893307685852,0.598547637462616,0.22151139378547668,0.9999898076057434,0.5840124487876892,0.22249162197113037,0.9999951720237732,0.6329282522201538,0.28916317224502563,0.9995439648628235,0.5381871461868286,0.29058584570884705,0.9999880194664001,0.6239104866981506,0.375543475151062,0.41279882192611694,0.5353464484214783,0.3836483061313629,0.9823423027992249,0.6335230469703674,0.45124396681785583,0.3081340193748474,0.5276105999946594,0.4697442650794983,0.9521722197532654,0.634509265422821,0.47498321533203125,0.27852585911750793,0.5251651406288147,0.4934767782688141,0.9098905920982361,0.6331539750099182,0.4770820736885071,0.29891958832740784,0.5314954519271851,0.49386313557624817,0.9164369106292725,0.6306950449943542,0.46977996826171875,0.29641062021255493,0.5349681973457336,0.48632359504699707,0.9053436517715454,0.6135992407798767,0.45687294006347656,0.9991529583930969,0.5673259496688843,0.45547154545783997,0.9998975992202759,0.5841540694236755,0.5826147198677063,0.7967147827148438,0.5963116884231567,0.5850136876106262,0.9568762183189392,0.5331833958625793,0.6867481470108032,0.9437323212623596,0.642625629901886,0.7023802995681763,0.9863466620445251,0.5188524723052979,0.7066022753715515,0.8874145746231079,0.6542856097221375,0.7224099636077881,0.9130599498748779,0.5696409940719604,0.7218493223190308,0.9449008107185364,0.622846782207489,0.7268175482749939,0.9803593754768372
2,0.5932006239891052,0.20955051481723785,0.9999964237213135,0.5969327688217163,0.20119883120059967,0.9999880790710449,0.6005250811576843,0.20126307010650635,0.9999827742576599,0.6040773391723633,0.20139628648757935,0.9999804496765137,0.5851331949234009,0.20183084905147552,0.9999922513961792,0.5802696943283081,0.20258145034313202,0.999991774559021,0.5752193331718445,0.20339660346508026,0.9999935626983643,0.6065618395805359,0.20748837292194366,0.9999207854270935,0.565945029258728,0.21097077429294586,0.9999889135360718,0.5997039079666138,0.22261619567871094,0.9999892115592957,0.5850326418876648,0.2237139642238617,0.9999948740005493,0.6343664526939392,0.28930404782295227,0.9995315670967102,0.5396525859832764,0.2909387946128845,0.9999871850013733,0.6254296898841858,0.3753209114074707,0.4143369495868683,0.5362799167633057,0.38400179147720337,0.9820214509963989,0.6342150568962097,0.45126816630363464,0.310191810131073,0.5301662683486938,0.4697134792804718,0.9513717293739319,0.6353327631950378,0.47489529848098755,0.28041961789131165,0.5279943943023682,0.49347543716430664,0.9083362817764282,0.6342754364013672,0.4770674407482147,0.30034202337265015,0.534470796585083,0.49389708042144775,0.9149202704429626,0.631493866443634,0.4696187674999237,0.29825273156166077,0.5376056432723999,0.4863411486148834,0.9038146138191223,0.6140075325965881,0.45695024728775024,0.9991437792778015,0.5683581233024597,0.4554924964904785,0.9998921751976013,0.5857248306274414,0.5816174149513245,0.7947169542312622,0.5963050127029419,0.5843671560287476,0.9550174474716187,0.5334444046020508,0.6866147518157959,0.9438355565071106,0.642496645450592,0.7023123502731323,0.985569179058075,0.5188536643981934,0.7065929770469666,0.8874900341033936,0.6539973616600037,0.7223454713821411,0.9114909768104553,0.5678853988647461,0.7202068567276001,0.9441328644752502,0.6198822259902954,0.7288818955421448,0.9794021844863892
3,0.5958865880966187,0.2101946771144867,0.9999964237213135,0.600175678730011,0.20194189250469208,0.9999881386756897,0.6039341688156128,0.20197993516921997,0.9999828934669495,0.6077854037284851,0.20203831791877747,0.9999805688858032,0.5879085063934326,0.20261183381080627,0.9999921917915344,0.5828886032104492,0.20327703654766083,0.9999916553497314,0.5778461694717407,0.20400823652744293,0.9999935030937195,0.6101466417312622,0.20788012444972992,0.9999223947525024,0.5685822367668152,0.2114693820476532,0.9999887943267822,0.6023975610733032,0.22329507768154144,0.9999892115592957,0.5879541039466858,0.22435925900936127,0.9999948740005493,0.6398022770881653,0.2895873486995697,0.9995390176773071,0.541320264339447,0.29095378518104553,0.9999868869781494,0.6308325529098511,0.3766661286354065,0.42907220125198364,0.5378832221031189,0.38365638256073,0.981535792350769,0.6376610398292542,0.45496150851249695,0.32082656025886536,0.5327908992767334,0.46920016407966614,0.9506406784057617,0.6381890177726746,0.4789617657661438,0.28908011317253113,0.5302162766456604,0.49334755539894104,0.9071507453918457,0.6366325616836548,0.48192235827445984,0.30859553813934326,0.5369426012039185,0.49381476640701294,0.9138574600219727,0.6336077451705933,0.47328948974609375,0.3065672516822815,0.5400819778442383,0.48620957136154175,0.9028063416481018,0.6161668300628662,0.457242488861084,0.9991601705551147,0.570421576499939,0.4556024670600891,0.9998903274536133,0.5883246660232544,0.5814996957778931,0.7971928715705872,0.597404420375824,0.5843451023101807,0.9541534185409546,0.535156786441803,0.6867198348045349,0.9450143575668335,0.6428250670433044,0.7023853063583374,0.9849138259887695,0.5204018950462341,0.7073171138763428,0.8885447382926941,0.654566764831543,0.7227913737297058,0.9103474020957947,0.5694617033004761,0.7202935218811035,0.9444968104362488,0.6182101368904114,0.7304849624633789,0.9787033796310425
4,0.5986356139183044,0.21163353323936462,0.9999964833259583,0.6032511591911316,0.20310546457767487,0.9999884366989136,0.6070883870124817,0.203135147690773,0.9999833106994629,0.6111681461334229,0.20318341255187988,0.9999811053276062,0.590666651725769,0.20369362831115723,0.999992311000824,0.585469126701355,0.20428216457366943,0.999991774559021,0.580437183380127,0.20488792657852173,0.9999935626983643,0.6137842535972595,0.20929910242557526,0.9999246597290039,0.571347177028656,0.21275779604911804,0.999988853931427,0.6050787568092346,0.22487860918045044,0.9999895095825195,0.5905472636222839,0.22577586770057678,0.9999949932098389,0.6428071856498718,0.29054054617881775,0.9995594620704651,0.5436481833457947,0.29151180386543274,0.9999873042106628,0.6381930708885193,0.3781532347202301,0.4476049542427063,0.5411828756332397,0.38393354415893555,0.981817364692688,0.6440966725349426,0.45747023820877075,0.3413535952568054,0.5353364944458008,0.4692029654979706,0.9517794251441956,0.6454970240592957,0.48187264800071716,0.3061111867427826,0.5323230624198914,0.49350786209106445,0.9090211987495422,0.6433835625648499,0.48473960161209106,0.3258695602416992,0.5393784642219543,0.49393653869628906,0.9155777096748352,0.6408045291900635,0.47596171498298645,0.32288774847984314,0.5424560904502869,0.4862962067127228,0.904513418674469,0.618915319442749,0.45772072672843933,0.9991752505302429,0.572924017906189,0.45577067136764526,0.9998919367790222,0.5904637575149536,0.5815085768699646,0.7959360480308533,0.6003676652908325,0.5845469832420349,0.9547519683837891,0.5368363261222839,0.6876888275146484,0.9453707933425903,0.6450191736221313,0.7027886509895325,0.9848522543907166,0.5218198895454407,0.7100122570991516,0.8895604610443115,0.6571889519691467,0.7237600684165955,0.9111200571060181,0.5736402869224548,0.7210039496421814,0.9448521733283997,0.6612616777420044,0.7439996600151062,0.978701651096344
5,0.6016811728477478,0.21238557994365692,0.9999964237213135,0.6063900589942932,0.20382444560527802,0.9999882578849792,0.6102827787399292,0.2038896530866623,0.9999831914901733,0.6143921613693237,0.20398852229118347,0.9999810457229614,0.5938104391098022,0.20429299771785736,0.9999921321868896,0.588628888130188,0.204803004860878,0.9999915361404419,0.5836521983146667,0.20534148812294006,0.9999933838844299,0.6170139908790588,0.21031153202056885,0.9999256134033203,0.5748167037963867,0.21325860917568207,0.9999884366989136,0.6078007817268372,0.2256893366575241,0.9999895691871643,0.5932644605636597,0.2264617532491684,0.9999949336051941,0.6470964550971985,0.29080885648727417,0.999571681022644,0.5464243292808533,0.2925019860267639,0.9999871850013733,0.6418971419334412,0.37881797552108765,0.4676287770271301,0.5447559952735901,0.38460448384284973,0.981338381767273,0.6477024555206299,0.45956161618232727,0.3563636839389801,0.5384269952774048,0.46919670701026917,0.9513883590698242,0.648267388343811,0.4830375611782074,0.31856632232666016,0.5351061820983887,0.493665486574173,0.9085887670516968,0.6463373303413391,0.48647552728652954,0.3381058871746063,0.5421404242515564,0.4941204786300659,0.9152328968048096,0.643911600112915,0.4775523841381073,0.3349311351776123,0.5453284978866577,0.4864298105239868,0.9042040109634399,0.6229340434074402,0.45844197273254395,0.9991851449012756,0.5750855803489685,0.4561680257320404,0.9998915791511536,0.5926473736763,0.5830756425857544,0.795306384563446,0.6037430167198181,0.5862951874732971,0.9538511633872986,0.5393092036247253,0.6899121403694153,0.9452624917030334,0.6505946516990662,0.7049948573112488,0.9842549562454224,0.5247392654418945,0.7130845189094543,0.8891130685806274,0.6620202660560608,0.7254793643951416,0.9109973907470703,0.5748842358589172,0.7221218347549438,0.9441671967506409,0.6374258995056152,0.7408688068389893,0.9780339598655701
6,0.6044194102287292,0.2126302570104599,0.9999963641166687,0.6093358993530273,0.20414337515830994,0.9999881386756897,0.6132569909095764,0.2042454183101654,0.9999831318855286,0.6174814105033875,0.20436915755271912,0.9999811053276062,0.5967146158218384,0.20459987223148346,0.9999918937683105,0.591543436050415,0.20509721338748932,0.999991238117218,0.586614727973938,0.2056322991847992,0.9999931454658508,0.6206973791122437,0.2107076644897461,0.9999269843101501,0.5780219435691833,0.21369336545467377,0.9999880194664001,0.6106691360473633,0.22600430250167847,0.9999897480010986,0.5959558486938477,0.2267570048570633,0.9999949336051941,0.6518441438674927,0.2915201485157013,0.999584436416626,0.5496314167976379,0.29340365529060364,0.9999865889549255,0.6467841863632202,0.3787773847579956,0.4884284436702728,0.5475143194198608,0.384624183177948,0.9802356362342834,0.6521992683410645,0.4594682455062866,0.36579903960227966,0.5415447354316711,0.46916839480400085,0.948028564453125,0.6514017581939697,0.48275312781333923,0.3250105381011963,0.5389622449874878,0.4936806857585907,0.9034309387207031,0.6498157978057861,0.4860179126262665,0.3443906307220459,0.5464483499526978,0.4940737783908844,0.910524308681488,0.6476147174835205,0.47732383012771606,0.34126561880111694,0.5491402745246887,0.4863976240158081,0.8994749784469604,0.6267003417015076,0.45911771059036255,0.9991949200630188,0.5764502882957458,0.4562779366970062,0.9998877644538879,0.5949819087982178,0.5843948721885681,0.7944558262825012,0.606576681137085,0.5866957902908325,0.9521979093551636,0.5414186120033264,0.6936201453208923,0.9450276494026184,0.653742790222168,0.7062247395515442,0.9834351539611816,0.5260601043701172,0.7170746922492981,0.8874014616012573,0.6653913855552673,0.7259664535522461,0.9089822769165039,0.5766672492027283,0.7235888242721558,0.9433814883232117,0.6366497278213501,0.7393569946289062,0.9772671461105347
7,0.6073331236839294,0.2130701243877411,0.9999964237213135,0.6123887896537781,0.2046104222536087,0.9999882578849792,0.6161600947380066,0.20473510026931763,0.9999833703041077,0.6204022169113159,0.20488809049129486,0.9999815225601196,0.5997592210769653,0.20499254763126373,0.9999918341636658,0.5944876074790955,0.20546360313892365,0.9999911189079285,0.5895333886146545,0.20596398413181305,0.9999930262565613,0.6237242817878723,0.21140170097351074,0.9999293088912964,0.5808039903640747,0.21423500776290894,0.999987781047821,0.6135956048965454,0.22659868001937866,0.9999900460243225,0.5986950993537903,0.22719593346118927,0.9999949932098389,0.6548277139663696,0.2920509874820709,0.9996057748794556,0.5524714589118958,0.29359981417655945,0.9999862909317017,0.6511370539665222,0.37904661893844604,0.5141316056251526,0.5499579906463623,0.3847014009952545,0.9795969128608704,0.6561771035194397,0.4592921733856201,0.3879842460155487,0.5441521406173706,0.46939119696617126,0.9466910362243652,0.6558017134666443,0.4826006293296814,0.34289759397506714,0.5421599745750427,0.493978887796402,0.9014053344726562,0.6537638902664185,0.4858478605747223,0.36227163672447205,0.5496789813041687,0.49410560727119446,0.9086966514587402,0.651482880115509,0.47715404629707336,0.3582792580127716,0.5523144602775574,0.4864172637462616,0.8975501656532288,0.6290807723999023,0.45942237973213196,0.9992135763168335,0.5778699517250061,0.4564647674560547,0.9998863935470581,0.5975562930107117,0.5853657126426697,0.7946587800979614,0.6086410880088806,0.5876962542533875,0.950821042060852,0.5441099405288696,0.6951428651809692,0.9446101188659668,0.6565573215484619,0.7077994346618652,0.9827731251716614,0.5280202031135559,0.7174383997917175,0.8854271173477173,0.6682866811752319,0.7266753315925598,0.9078474044799805,0.5768179297447205,0.7241771221160889,0.942535400390625,0.6361234784126282,0.7391512393951416,0.9767088890075684
8,0.6085777878761292,0.2146366685628891,0.999996542930603,0.6140838861465454,0.20580051839351654,0.9999885559082031,0.6178134083747864,0.20585791766643524,0.9999839067459106,0.6218646764755249,0.20592914521694183,0.9999821782112122,0.6011711359024048,0.20638170838356018,0.9999919533729553,0.5959184765815735,0.20694632828235626,0.999991238117218,0.5908136367797852,0.20769348740577698,0.999993085861206,0.6260675191879272,0.21275955438613892,0.9999322295188904,0.5829482078552246,0.21611355245113373,0.9999878406524658,0.6154162287712097,0.2278447300195694,0.9999904632568359,0.5999458432197571,0.22869552671909332,0.9999951124191284,0.6570303440093994,0.29269376397132874,0.9996302127838135,0.5543681383132935,0.2937365770339966,0.9999863505363464,0.654679536819458,0.3793041706085205,0.541023313999176,0.5527134537696838,0.38470569252967834,0.9793779253959656,0.6617461442947388,0.4592481851577759,0.4168485999107361,0.5462507009506226,0.4693724811077118,0.9466704726219177,0.660485029220581,0.48218947649002075,0.3676041066646576,0.5437762141227722,0.49394935369491577,0.9014438986778259,0.658876359462738,0.4843484163284302,0.38702189922332764,0.551078736782074,0.49394547939300537,0.9087569117546082,0.6571511030197144,0.47626984119415283,0.3815540373325348,0.5539231896400452,0.48626425862312317,0.8974620699882507,0.6312417984008789,0.45996376872062683,0.9992356896400452,0.5799338221549988,0.4570970833301544,0.9998863935470581,0.5991064310073853,0.5862336158752441,0.7958904504776001,0.6101532578468323,0.5883387923240662,0.9505859017372131,0.5457140803337097,0.695486307144165,0.9449019432067871,0.6576747894287109,0.708698034286499,0.9824718236923218,0.5295198559761047,0.7171420454978943,0.8853117227554321,0.6694846153259277,0.7272481322288513,0.9080374836921692,0.5797077417373657,0.7252418398857117,0.9424827694892883,0.6357364058494568,0.7387524247169495,0.9765161275863647
9,0.6093599796295166,0.21576300263404846,0.9999966025352478,0.6148155331611633,0.20680958032608032,0.9999887347221375,0.6187713742256165,0.20682303607463837,0.9999841451644897,0.6224170923233032,0.2068173587322235,0.9999825358390808,0.6018041968345642,0.2075432389974594,0.9999920725822449,0.5966466069221497,0.2081628441810608,0.9999912977218628,0.5915718674659729,0.20909881591796875,0.9999931454658508,0.6270433664321899,0.213789701461792,0.9999337792396545,0.5843230485916138,0.21763697266578674,0.9999879002571106,0.6166817545890808,0.22867192327976227,0.999990701675415,0.6008968949317932,0.22973813116550446,0.9999951720237732,0.6583371758460999,0.2933136820793152,0.9996466636657715,0.5557237267494202,0.2942681312561035,0.9999866485595703,0.6548615097999573,0.37955421209335327,0.5590891242027283,0.5538111925125122,0.3851736783981323,0.9795643091201782,0.6613841652870178,0.45909830927848816,0.4335835874080658,0.5476332902908325,0.4697452187538147,0.9474270343780518,0.6610044836997986,0.4820427894592285,0.3812766671180725,0.545194685459137,0.4945657551288605,0.9025980234146118,0.6594962477684021,0.48422080278396606,0.40075424313545227,0.552645206451416,0.4946081042289734,0.9098310470581055,0.657211422920227,0.47622156143188477,0.39441826939582825,0.5554930567741394,0.4867722690105438,0.8984609246253967,0.6332033276557922,0.46027955412864685,0.9992488026618958,0.5818768739700317,0.4574632942676544,0.9998869895935059,0.6004049777984619,0.5865451097488403,0.7964937090873718,0.6113466024398804,0.5888543725013733,0.9503341317176819,0.547270655632019,0.6956765651702881,0.9450822472572327,0.658589780330658,0.7096647620201111,0.9821731448173523,0.5311316847801208,0.7171636819839478,0.885175347328186,0.6702567338943481,0.7285053730010986,0.9080461859703064,0.5825526118278503,0.7266956567764282,0.9423553347587585,0.635465681552887,0.7391170263290405,0.976294219493866
